name|astext
Unalaska|POINT(-166.534596549594 53.8724522231102)
Russian Mission|POINT(-161.32755179797 61.7848443132126)
Ouzinkie|POINT(-152.498330615726 57.9228345366967)
Chefornak|POINT(-164.273116718885 60.1599491503283)
Grayling|POINT(-160.078962449199 62.9054471523096)
Mountain Village|POINT(-163.72229289262 62.087619452888)
Manokotak|POINT(-159.055508012734 58.9788632549205)
Port Heiden|POINT(-158.647027992651 56.9557802544559)
Savoonga|POINT(-170.483416499486 63.6895372306331)
Shaktoolik|POINT(-161.185836853022 64.3492504359431)
Diomede|POINT(-168.91392152283 65.7639702654437)
False Pass|POINT(-163.408835193341 54.8539414554421)
King Cove|POINT(-162.312088929392 55.0619977238985)
Akutan|POINT(-165.780304867886 54.1376799368103)
Saint George|POINT(-169.54718704308 56.6020774743303)
Saint Paul|POINT(-170.278160703893 57.1211411347361)
Atka|POINT(-174.191583984633 52.189698611461)
Chuathbaluk|POINT(-159.237442059034 61.5718595897657)
Coffman Cove|POINT(-132.73559791649 55.9472224987724)
Thorne Bay|POINT(-132.472998629542 55.7270557216182)
Anchorage|POINT(-149.995177116273 61.1811051518326)
Kachemak|POINT(-151.453021486609 59.6481876143099)
Cape Yakataga|POINT(-142.429804882143 60.0647595175898)
Ivanof Bay|POINT(-159.50864501467 55.898800048462)
Perryville|POINT(-159.167792440756 55.9111432807836)
Northway Junction|POINT(-141.79433170637 63.0169316681058)
Tetlin|POINT(-142.59405302579 63.3101983357108)
Georgetown|POINT(-157.789004960305 61.907849140319)
Attu|POINT(173.239876201829 52.9365262029794)
Tuntutuliak|POINT(-162.671712966499 60.3388957812044)
Chignik Lagoon|POINT(-158.523880852489 56.3528678136023)
Chignik Lake|POINT(-158.749316280805 56.2627328747755)
Belkofski|POINT(-162.036138280203 55.0896251116975)
Hollis|POINT(-132.665075931187 55.4875349053759)
Boundary|POINT(-141.093354898323 64.0645721183136)
Sanak|POINT(-162.816022905859 54.4822459063193)
Pauloff Harbor|POINT(-162.702333316867 54.4579738486641)
Birch Creek|POINT(-145.826845985114 66.2683331010335)
McKinley Park|POINT(-148.914967348567 63.7180375095881)
Paimiut|POINT(-165.83276095137 61.6962630041398)
Kokhanok|POINT(-154.763190410581 59.4418711458876)
Pedro Bay|POINT(-154.10023690826 59.790697219868)
Kaguyak|POINT(-153.769245901502 56.8586281965181)
Ayakulik|POINT(-154.547992092219 57.2105837605077)
Womens Bay|POINT(-152.588218600319 57.7091201847058)
Uganik|POINT(-153.421156795627 57.6827607324088)
Kongiganak|POINT(-162.87962745136 59.9639643101312)
Minto|POINT(-149.330497222624 65.1557258566913)
Healy Lake|POINT(-144.757434519398 63.9437650343647)
Dot Lake|POINT(-144.051703095793 63.6626184821945)
Slana|POINT(-143.963305475683 62.7075921141549)
Mentasta Lake|POINT(-143.794558736663 62.9208251791372)
Portage Creek|POINT(-157.716455808352 58.8998342952507)
Ekuk|POINT(-158.542688023267 58.8032061515982)
Port Protection|POINT(-133.603870978606 56.3123834268251)
Cape Lisburne|POINT(-166.195698725892 68.8671026881243)
Nikolaevsk|POINT(-151.624757060505 59.810276503152)
Nanwalek|POINT(-151.9177844105 59.3533262516252)
Portlock|POINT(-151.742128386736 59.2085983996406)
Petersville|POINT(-150.773164399147 62.4946261911873)
Skwentna|POINT(-151.160198891116 61.9643725223132)
Fort Glenn|POINT(-167.883331700004 53.3947482398595)
Kenny Lake|POINT(-144.947406033892 61.737418102997)
Shemya Station|POINT(174.1120417953 52.7245750549827)
Deadhorse|POINT(-148.420804107466 70.2094774653257)
Paxson|POINT(-145.486377684902 63.0369018376501)
Chiniak|POINT(-152.168063430885 57.6180478902177)
Salamatof|POINT(-151.328131131287 60.587183783665)
Nikiski|POINT(-151.336675463419 60.6388815617138)
Uyak|POINT(-153.990229152223 57.6248414720172)
Big Lake|POINT(-149.826594941798 61.5372711709767)
Prudhoe Bay|POINT(-148.383130180946 70.2363485069283)
Bill Moores|POINT(-164.159305233386 62.9794033864663)
Oscarville|POINT(-161.792386346447 60.7265157094171)
Atmautluak|POINT(-162.478729716718 60.8599297813813)
